Price_List_Code,Source_Type,Assign_to_No,Product_No,Description,Unit_Cost,Unit_Price,Line_Discount_Percent,Minimum_Quantity,Starting_Date,Ending_Date,Posting_Group
GNB-01,Customer Price Group,GNB,AL10-00002-00,"ALUMINIUM COIL, .032 X 24"", ANODIZED ONE SIDE",1.98609,2.84,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-67400-00,"CENTER STILE 2"" AL976 AS-57674 MILL",0.37003,0.53,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-67400-01,"CENTER STILE 2"" AL976, A-29047-B, ANODIZED",0.53623,0.77,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-67400-03,"CENTER STILE 2"" AL976, A-29047-B, WHITE",0.48999,0.7,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-67400-05,"CENTER STILE 2"" AL976, A-29047-B, BLACK ANODIZED",0.87481,1.25,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-67500-00,"MALE RAIL AL976, A-29046-B, MILL",0.28706,0.41,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-67500-01,"MALE RAIL AL976, A29046-B,  ANODIZED CLEAR",0.39,0.56,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-67500-03,"MALE RAIL AL976, A-29046-B, WHITE",0.4364,0.62,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-67500-05,"MALE RAIL AL976, A-29046-B, BLACK ANODIZED",0.56484,0.81,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-98000-00,FEMALE RAIL AL976 A-29048-A MILL,0.28862,0.41,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-98000-01,"FEMALE RAIL AL976, A-29048A, ANODIZED",0.37945,0.54,0,0,2026-05-06,,ALUM
GNB-01,Customer Price Group,GNB,AL91-98000-03,"FEMALE RAIL AL976, A-29048-A, WHITE",0.42831,0.61,0,0,2026-05-06,,ALUM
